location_id,location_name,street_name,locality,sub_locality,city,district,state,pincode,location_type,tourist_destination,latitude,longitude,predicted_safety_score,predicted_risk_level
LOC_106902,Pullyangundupatti,,Pullyangundupatti,,,,Tamil Nadu,,village,0,9.94179,78.64138,51.282883632638914,RISKY
LOC_106903,Khasua,,Khasua,,,,Assam,,village,0,26.32065,89.87253,51.68265388029778,RISKY
LOC_106904,Phoruang,,Phoruang,,,,Odisha,,village,0,19.80604,83.3864,56.17690662857795,MODERATE
LOC_106905,Banshera,,Banshera,,,,Himachal Pradesh,,village,0,31.29008,77.50657,53.138024908206724,RISKY
LOC_106906,Kamlāpur,,Kamlāpur,,,,Madhya Pradesh,,village,0,26.36509,78.43425,54.23768647972126,RISKY
LOC_106907,Baman Nargawān,,Baman Nargawān,,,,Uttar Pradesh,,village,0,25.37636,78.89065,50.71416882522781,RISKY
LOC_106908,Nagla Rām Nagar,,Nagla Rām Nagar,,,,Uttar Pradesh,,village,0,27.19268,78.94635,49.185082526515345,RISKY
LOC_106909,Kondāwad,,Kondāwad,,,,Madhya Pradesh,,village,0,21.78777,76.22055,54.721712508297145,RISKY
LOC_106910,Nathon,,Nathon,,,,Himachal Pradesh,,village,0,31.80481,76.21837,59.70397794983765,MODERATE
LOC_106911,Kalluttai,,Kalluttai,,,,Tamil Nadu,,village,0,12.7636,78.8941,56.51015743699232,MODERATE
LOC_106912,Artota,,Artota,,,,Karnataka,,village,0,13.41408,75.21266,49.40862234086799,RISKY
LOC_106913,Singarajupeta,,Singarajupeta,,,,Andhra Pradesh,,village,0,17.74827,82.56717,56.42150721874304,MODERATE
LOC_106914,Parariyā,,Parariyā,,,,Jharkhand,,village,0,23.13834,84.73725,57.1034614117816,MODERATE
LOC_106915,Bāja Bigha,,Bāja Bigha,,,,Bihar,,village,0,24.71429,85.12747,45.904321680971336,RISKY
LOC_106916,Dhangāī,,Dhangāī,,,,Jharkhand,,village,0,24.12923,84.18633,54.5057467490569,RISKY
LOC_106917,Purwa Kaithan,,Purwa Kaithan,,,,Uttar Pradesh,,village,0,26.48532,82.15107,51.954102127775016,RISKY
LOC_106918,Jaraut,,Jaraut,,,,Himachal Pradesh,,village,0,31.75113,76.34626,54.695993552058574,RISKY
LOC_106919,Kodumage,,Kodumage,,,,Karnataka,,village,0,14.04474,75.69753,55.478460373273,MODERATE
LOC_106920,Balua,,Balua,,,,Bihar,,village,0,25.60195,84.59896,54.264132495762986,RISKY
LOC_106921,Shiroli,,Shiroli,,,,Uttar Pradesh,,village,0,27.3695,79.43483,49.789020745369335,RISKY
LOC_106922,Mahuātānr,,Mahuātānr,,,,Jharkhand,,village,0,24.33003,85.55024,49.34981920197414,RISKY
LOC_106923,Kākarwai,,Kākarwai,,,,Telangana,,village,0,17.3125,79.83082,57.68222469748659,MODERATE
LOC_106924,Bhareta Bairāgīpur,,Bhareta Bairāgīpur,,,,Uttar Pradesh,,village,0,25.82637,81.48424,44.83632039980427,RISKY
LOC_106925,Bamhani,,Bamhani,,,,Madhya Pradesh,,village,0,24.33767,82.34476,52.78993459020252,RISKY
LOC_106926,Garhi Brahmanān,,Garhi Brahmanān,,,,Haryana,,village,0,28.99611,76.99488,47.77901935384745,RISKY
LOC_106927,Arla,,Arla,,,,Himachal Pradesh,,village,0,32.00175,76.67185,54.65679413345334,RISKY
LOC_106928,Mahua Sarabjīt,,Mahua Sarabjīt,,,,Uttar Pradesh,,village,0,27.17357,83.39297,49.37338867751491,RISKY
LOC_106929,Chilmītola,,Chilmītola,,,,Bihar,,village,0,24.6207,84.54774,45.2372268449807,RISKY
LOC_106930,Karcholia,,Karcholia,,,,Uttar Pradesh,,village,0,26.7924,82.62637,49.61605874448245,RISKY
LOC_106931,Pura Rāja,,Pura Rāja,,,,Uttar Pradesh,,village,0,26.41723,81.52815,49.75170811249428,RISKY
LOC_106932,Timal Pāni,,Timal Pāni,,,,Uttarakhand,,village,0,29.41503,79.38797,59.0820474067881,MODERATE
LOC_106933,Dhamrer,,Dhamrer,,,,Rajasthan,,village,0,27.28006,76.56964,51.76737368431961,RISKY
LOC_106934,Ashrafia,,Ashrafia,,,,Bihar,,village,0,25.37419,86.29969,48.248772064088215,RISKY
LOC_106935,Klāngād,,Klāngād,,,,Tamil Nadu,,village,0,9.01718,77.33804,57.549908046058725,MODERATE
LOC_106936,Kovilūr,,Kovilūr,,,,Tamil Nadu,,village,0,10.08101,78.74479,62.47331242736312,MODERATE
LOC_106937,Chhapia Subāran,,Chhapia Subāran,,,,Uttar Pradesh,,village,0,26.92215,82.82905,48.22222241867177,RISKY
